id,rl_eight_params_F,rlddm_eight_params_F,rlddm_eight_params_all_affect_drift_F,rlddm_nine_params_F
AA022,-50.0121184691455,-183.261597099543,-34.8014839119406,-21.1187838161241
AA071,-74.0488143386676,-107.027395809154,-22.841308645779,-22.134865367075
AA111,-98.4246183072496,-216.455637568227,-87.8669668871829,-82.8180469662057
AA164,-95.5817855972182,-103.828695096799,-18.4582321550324,-16.7852305989905
AA273,-28.3751257417808,-50.0591319889147,99.9336049169317,114.540939748135
AA343,-71.1506617228264,-121.376279753564,-49.4834098921866,-46.0096779160266
AA363,-39.1236353782334,-145.78982978402,-26.1329541817055,3.59521614979962
AA374,-61.0922818707546,-200.699734720703,-79.7272506754664,-64.3119111347782
AA631,-89.0438381875411,-172.095827380446,-72.9747575341099,-73.9710271457231
AA703,-82.1980651626999,-90.5306765303714,-9.90569996286852,-10.7397468845591
AB050,-76.9874783471717,-162.486217752639,-51.184289408175,-39.4324166817175
AB434,-69.137320155782,-126.647671831693,-40.5525812661707,-25.7503261842927
AB546,-95.0840800317531,-208.169003739518,-76.2233847997761,-61.0535813123363
AB607,-63.0959661092068,-279.11298757842,-70.2088389584999,-57.7539282152166
AB830,-75.4994808787381,-172.497489147926,-76.2095496368795,-65.8046482187496
AB903,-50.5081165080372,-91.9183097299354,-40.5570655991718,-33.439818913297
AD032,-104.211807144505,-225.833897084674,-112.090676812446,-110.317010817988
AD041,-96.4365221521262,-179.243924293168,-90.0889116682332,-90.3665321270916
AD108,-75.277328562581,-154.380074390035,-44.5637190153941,-44.6509928733229
AE085,-67.8669934565811,-187.970853061267,-42.8198721360426,-33.9982312400239
AF443,-39.8395033246297,-87.580010480146,50.5701928668675,53.672029932308
AF497,-92.1510355550219,-253.998331596283,-103.363550239906,-99.9458781928148
AF661,-56.2935176856154,-93.5696621328136,-23.9759557093013,-16.8658335048988
AG134,-99.0195504675471,-221.358791973907,-101.824137429873,-99.2641815257594
AH994,-72.6017174651762,-153.820060842956,-62.8140983249281,-53.9650391198933
AJ027,-56.96034904713,-41.5403800350159,52.9553995547273,51.4700543476563
AJ537,-98.2560117483161,-332.806971480776,-129.275513095413,-81.5149900490297
AJ577,-67.9548549853469,-103.545959160558,-38.725055413134,-34.0379322631494
AJ702,-61.137281940358,-90.1521966260187,3.36648194272091,7.75322248820943
AJ826,-66.315925764889,-159.67309433703,-72.4571409939733,-62.0307338634069
AJ855,-69.3673387568035,-195.133968031026,-65.4973571829766,-52.6426176362673
AJ975,-75.4596083474422,-163.152352308534,-56.3304460385254,-59.1127628189703
AK027,-97.3452129062244,-187.958137229138,-100.177191434711,-97.1186286997561
AK028,-51.1645333280865,-110.60936633699,-39.4964741312749,-34.7884804927022
AK303,-80.7475144789348,-169.541659265828,-71.2006112259642,-65.3893645731867
AK570,-105.002270279059,-170.675226892448,-94.3384140225709,-94.9518255297582
AL023,-103.231897962943,-123.288509658952,-83.145725622367,-77.4765113687794
AL233,-97.0030549524391,-151.904264383629,-98.5387969486288,-97.666260208748
AL627,-75.9575859022401,-107.606593299587,-42.3590051793714,-40.8125858466135
AL747,-88.0060112808237,-176.985154971567,-85.4599538104727,-82.5354761689279
AL752,-59.2129611007266,-168.591150469585,-21.4149825404502,-0.659186139861754
AL808,-107.885033951238,-187.400370407859,-81.3020266285225,-77.8466313031623
AL925,-69.4117299311624,-219.34809951879,-81.0986507186675,-47.1339446715395
AN582,-110.913686937978,-168.124618827603,-108.013278824142,-97.070969677738
AN742,-47.2924435323407,-174.02583579064,-14.8363294265298,-14.2443868796904
AO072,-102.381178580335,-135.773990154115,-84.9926994219909,-82.2316523225822
AO094,-101.594568250918,-159.637934872929,-73.1383318513539,-76.3416206528806
AO226,-84.4769087579999,-175.178403579645,-73.8146599939669,-63.0129630053986
AO525,-107.11263371836,-229.906741754112,-101.748926889742,-90.0782700411333
AO580,-56.2231414975717,-137.11586495223,-8.23540327779059,6.60775817479391
AO631,-90.2216314054291,-164.955305451296,-67.6465444638859,-68.8136894592066
AO679,-73.3787724908745,-147.570344742515,-49.8310173104596,-43.7354349516864
AP614,-52.7776709547303,-122.94688776801,-4.12782975971748,7.89131987965872
AP999,-49.6309182408955,-81.1264927260998,22.7672335553339,22.2003710413543
AQ340,-56.1639189445626,-218.327995396541,-41.0203097407247,-32.0841302261791
AQ633,-96.3062971671395,-174.646527445344,-75.6910737429501,-73.3041684419447
AQ975,-57.5320586645085,-143.316935013247,-54.4328831986417,-46.0272358350402
AR607,-73.5611272935792,-130.992271063846,-51.841792808678,-48.1107174023949
AS038,-81.4868364352191,-134.001006314691,-37.4037483841982,-40.9599051407799
AS116,-100.764155546078,-223.084554344421,-111.438757705041,-105.124563637596
AS312,-99.4190390673726,-143.056181529572,-79.6471313464135,-79.8704714905402
AS588,-47.8596985593169,-81.6183714167285,32.7763653648582,43.5326086601698
AS599,-113.657018078206,-132.687493301176,-105.630690060141,-103.342533116468
AS768,-63.8432797946421,-126.702632066372,-54.1671248846896,-52.3393644557714
AS988,-50.2964934308598,-189.385156473577,-39.6751376858709,-5.06614423399067
AT122,-51.8820614503263,-80.7096410237706,6.96688811779142,14.2761470763613
AT385,-104.953209312002,-116.514710420515,-75.3715404732253,-76.4954379019919
AT511,-111.085374576975,-180.570369135309,-107.593261094499,-108.596628505933
AT719,-83.3707822558562,-177.450354178073,-68.3430079065511,-63.3540602553495
AT923,-54.7368245581325,-63.1765816305252,28.027375184645,32.9622973401233
AU067,-78.3790942120511,-198.444102658515,-73.1153691251037,-58.0343685801594
AU102,-69.558034696121,-139.712806941597,-37.9979743942244,-36.8453454902154
AU478,-108.070440474464,-214.890380821513,-115.595571791009,-116.234369044917
AU508,-96.7110181463976,-49.7869663587315,-37.7422601810738,-3.74294441701413
AU569,-48.745738223384,-152.699402231887,-47.6379241705642,-32.1332794767963
AU626,-33.7458703613781,-95.1123175704422,-9.81870806804845,1.67211875207439
AU739,-56.0078225000567,-91.0145021719696,8.97316194357592,9.31128647208877
AU798,-78.8012781930739,-265.636543702439,-95.2482697653797,-78.3258467727546
AV011,-96.5241988723912,-186.139575707843,-89.6776958872066,-88.0774277076787
AV134,-52.3242766870641,-83.5366818450252,4.43398745627493,8.6677018547602
AV143,-61.2069655701666,-155.811407624891,-70.076041315733,-60.8866938897814
AV503,-99.0240923794787,-169.208233761955,-102.692109827307,-98.4941672657652
AV551,-85.7223354038384,-167.429273297003,-86.6195445518922,-82.3432332027253
AV683,-88.7415066212218,-186.27066844654,-100.001921809263,-94.6255822311588
AV688,-25.0251523002473,-26.325160959014,134.423842233556,169.590888551416
AV708,-68.0578767299738,-199.585693660897,-49.2714800680088,-11.6825722332354
AV718,-33.3226980173661,-25.5477041017019,55.0343874893591,90.7120661948284
AV828,-73.2710330269335,-152.962898008635,-62.2561012997315,-49.4981295429347
AV958,-52.2341441344226,-116.409393748751,-29.5437490586552,-12.6735535017113
AW090,-48.7348425530467,-111.55343046105,-7.79578125857815,4.17165204603965
AW199,-89.9382446955405,-200.495577322904,-72.9426783689124,-65.3181691204308
AW442,-111.585624190135,-157.413542798831,-101.186544168252,-103.021822858805
AW519,-108.029729673477,-146.816074391402,-33.7355689495503,-26.0930720432916
AW577,-107.193543755514,-139.173723582229,-85.6055828009723,-85.6580007752119
AW697,-38.702705713386,-110.997203132155,25.8836476332978,25.5667090767624
